region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
CAR,Baguio,Asian Spirit,60,56,62,58,50,38,46,24,48,0,54,56,552
CAR,Baguio,Corp. Air,-,-,-,-,-,-,-,-,-,-,8,-,8
CAR,Baguio,G. Aviation,104,118,126,180,86,34,74,36,58,0,60,102,978
CAR,Baguio,Military,8,52,0,50,10,4,8,18,18,0,12,108,288
I (Ilocos Norte),Laoag (International),Far East Trans,34,26,26,26,26,26,26,28,30,36,26,24,334
I (Ilocos Norte),Laoag (International),China S. Air,34,26,26,26,30,24,32,44,42,46,26,30,386
I (Ilocos Norte),Laoag (International),C.R. Airways,64,48,56,60,56,50,54,42,50,52,38,54,624
I (Ilocos Norte),Laoag (International),Astro air,60,18,0,0,0,0,0,0,0,0,0,24,102
I (Ilocos Norte),Laoag (Domestic),PAL,0,0,0,36,34,32,34,36,34,36,34,36,312
I (Ilocos Norte),Laoag (Domestic),Air Philippines,30,26,28,26,2,0,0,0,0,0,0,0,112
I (Ilocos Norte),Laoag (Domestic),Paco,94,80,108,202,182,74,62,60,32,14,0,20,928
I (Ilocos Norte),Laoag (Domestic),Chemtrad,106,56,2,0,0,0,0,0,0,52,20,50,286
I (Ilocos Norte),Laoag (Domestic),G. Aviation,56,64,68,102,46,24,22,36,18,32,22,30,520
I (Ilocos Norte),Laoag (Domestic),Military,64,26,28,46,16,26,2,20,34,16,6,2,286
I (Ilocos Norte),Lingayen,G. Aviation,42,26,40,20,70,12,18,20,24,32,26,28,358
I (Ilocos Norte),Rosales,G. Aviation,0,12,8,0,0,14,10,0,0,6,0,0,50
I (Ilocos Norte),San Fernando,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
I (Ilocos Norte),Vigan,G. Aviation,64,38,14,36,40,38,26,24,22,30,22,10,364
II (Cagayan Valley),Bagabag,G. Aviation,36,78,56,34,52,50,66,30,92,68,74,60,696
II (Cagayan Valley),Bagabag,Military,0,0,0,86,0,0,0,0,0,0,0,10,96
II (Cagayan Valley),Basco,Asian Spirit,18,8,26,24,36,28,24,20,26,24,26,34,294
II (Cagayan Valley),Basco,Chemtrad,124,24,54,82,72,36,48,40,64,162,108,120,934
II (Cagayan Valley),Basco,Paco,156,84,164,242,232,144,96,104,72,24,0,50,1368
II (Cagayan Valley),Basco,G. Aviation,6,0,0,8,0,4,0,6,0,0,0,46,70
II (Cagayan Valley),Basco,Military,0,30,14,0,18,0,4,0,0,2,0,0,68
II (Cagayan Valley),Cauayan,G. Aviation,250,252,332,450,390,250,300,192,250,256,88,152,3162
II (Cagayan Valley),Itbayat,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
II (Cagayan Valley),Palanan,Chemtrad,8,10,4,4,10,12,12,2,0,0,0,0,62
II (Cagayan Valley),Palanan,Cyclone,186,102,178,194,152,122,142,100,114,142,76,134,1642
II (Cagayan Valley),Palanan,G. Aviation,0,4,2,8,8,4,6,4,4,0,2,0,42
II (Cagayan Valley),Tuguegarao ,Air Philippines,44,24,38,24,0,24,26,26,32,26,20,28,312
II (Cagayan Valley),Tuguegarao ,Asian Spirit,0,0,0,0,0,34,38,40,28,30,28,32,230
II (Cagayan Valley),Tuguegarao ,Chemtrad,220,120,116,142,0,100,96,82,80,74,60,84,1174
II (Cagayan Valley),Tuguegarao ,G. Aviation,40,96,90,66,0,10,56,18,6,10,12,54,458
II (Cagayan Valley),Tuguegarao ,Military,20,24,0,0,0,0,0,0,0,14,0,0,58
III (Central Luzon),Iba,G. Aviation,36,12,52,68,30,24,28,14,46,38,60,28,436
III (Central Luzon),Iba,Military,0,22,0,0,0,0,0,16,0,0,0,0,38
III (Central Luzon),Subic,International,Grand Total for the whole year,-,-,-,-,0,0,0,0,0,0,0,7687
III (Central Luzon),Subic,Domestic,Grand Total for the whole year,-,-,-,-,-,-,-,-,-,-,-,6406
III (Central Luzon),Subic,G. Aviation,Grand Total for the whole year,-,-,-,-,-,-,-,-,-,-,-,2496
