particulars_1,particulars_2,particulars_3,particulars_4,total
"LDDRMF balance, January 1, 2012","LDDRMF balance, January 1, 2013","LDDRMF balance, January 1, 2014","LDDRMF balance, January 1, 2015",30786.98
Add: Estimated Revenue from Regular Resources for 2012,Add: Estimated Revenue from Regular Resources for 2013,Add: Estimated Revenue from Regular Resources for 2014,Add: Estimated Revenue from Regular Resources for 2015,53912474.97
Calamity Fund,Calamity Fund,Calamity Fund,Calamity Fund,84699236.95
Less: Disbursement,Less: Disbursement,Less: Disbursement,Less: Disbursement,-
Less: Disbursement,Pre-Disaster Preparedness Programs,Capital Outlay,Capital Outlay,-
Less: Disbursement,Pre-Disaster Preparedness Programs,Capital Outlay,IT Equipment and Software,24980
Less: Disbursement,Pre-Disaster Preparedness Programs,Capital Outlay,Other Machineries and Equipment,1088360
Less: Disbursement,Pre-Disaster Preparedness Programs,Capital Outlay,Motor Vehicle,1337000
Less: Disbursement,Pre-Disaster Preparedness Programs,Capital Outlay,Construction in Progress-Agency Assets,0
Less: Disbursement,Pre-Disaster Preparedness Programs,Capital Outlay,Total Caital Outlay,2450340
Less: Disbursement,Pre-Disaster Preparedness Programs,Maintenance and Other Operating Expenses,-,-
Less: Disbursement,Pre-Disaster Preparedness Programs,Maintenance and Other Operating Expenses,Training Expenses,4659562
Less: Disbursement,Pre-Disaster Preparedness Programs,Maintenance and Other Operating Expenses,"Gasoline, Oil and Lubricants Expenses",56005
Less: Disbursement,Pre-Disaster Preparedness Programs,Maintenance and Other Operating Expenses,Other Supplies Expenses,36285
Less: Disbursement,Pre-Disaster Preparedness Programs,Maintenance and Other Operating Expenses,Repair-Maintence - Motor Vehicles,292550
Less: Disbursement,Pre-Disaster Preparedness Programs,Maintenance and Other Operating Expenses,Repair-Maintence - Watercrafts,0
Less: Disbursement,Pre-Disaster Preparedness Programs,Maintenance and Other Operating Expenses,Donations,404300
Less: Disbursement,Pre-Disaster Preparedness Programs,Maintenance and Other Operating Expenses,Insurance Expenses,0
Less: Disbursement,Pre-Disaster Preparedness Programs,Maintenance and Other Operating Expenses,General Services,0
Less: Disbursement,Pre-Disaster Preparedness Programs,Maintenance and Other Operating Expenses,Other Proffessional Services,0
Less: Disbursement,Pre-Disaster Preparedness Programs,Maintenance and Other Operating Expenses,Other Maintenance and Operating Expenses,0
Less: Disbursement,Pre-Disaster Preparedness Programs,Maintenance and Other Operating Expenses,Total Maintenance and Operating Expenses,5358702
Less: Disbursement,Pre-Disaster Preparedness Programs,Total-Pre-Disater Preparedness Program Costs,Total-Pre-Disater Preparedness Program Costs,7809042
Less: Disbursement,Post-Disaster Program,Post-Disaster Program,Post-Disaster Program,-
Less: Disbursement,Post-Disaster Program,Capital Outlay,Capital Outlay,-
Less: Disbursement,Post-Disaster Program,Capital Outlay,Communication Equipment,44500
Less: Disbursement,Post-Disaster Program,Capital Outlay,Other Machachineries and Equipment,18000
Less: Disbursement,Post-Disaster Program,Capital Outlay,Total Capital Ou,62500
Less: Disbursement,Post-Disaster Program,Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,-
Less: Disbursement,Post-Disaster Program,Maintenance and Other Operating Expenses,Office Supplies Expenses,277739
Less: Disbursement,Post-Disaster Program,Maintenance and Other Operating Expenses,Gasoline Oil and Lubricants Expenses,1426611.9
Less: Disbursement,Post-Disaster Program,Maintenance and Other Operating Expenses,Agriculture Supplies Expenses,0
Less: Disbursement,Post-Disaster Program,Maintenance and Other Operating Expenses,Other Sup[plies Expenses,363622.5
Less: Disbursement,Post-Disaster Program,Maintenance and Other Operating Expenses,Elictricity Expenses,59200
Less: Disbursement,Post-Disaster Program,Maintenance and Other Operating Expenses,Rent Expenses,0
Less: Disbursement,Post-Disaster Program,Maintenance and Other Operating Expenses,Repair and Maintenance - Motor Vehicles,789140
Less: Disbursement,Post-Disaster Program,Maintenance and Other Operating Expenses,Donationsa,1897140
Less: Disbursement,Post-Disaster Program,Maintenance and Other Operating Expenses,Total Maintence and Other Operaing Expenses,4814021.44
Less: Disbursement,Post-Disaster Program,Total Post-Disaster Preparedness Program Costs,Total Post-Disaster Preparedness Program Costs,4876521.44
Less: Disbursement,Total Disbursement,Total Disbursement,Total Disbursement,12685563.44
"LDRRMF balance, As of June 31, 2012","LDRRMF balance, As of June 31, 2013","LDRRMF balance, As of June 31, 2014","LDRRMF balance, As of June 31, 2015",72013673.51
