city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Ampatuan,Mayor,"Sangki, Datu Zacaria Simpal",Iya,Independent,9326
Ampatuan,Vice-Mayor,"Sangki, Datu Rasul Mabang",Tho,Independent,9169
Ampatuan,Councilor,"Sangki, Tibulon Lindungan",Al,Independent,4220
Ampatuan,Councilor,"Masukat, Datukan Buyogan",Toks,Independent,4653
Ampatuan,Councilor,"Magelna, Pendatun Lumapenet",Penz,Independent,4710
Ampatuan,Councilor,"Salendab, Datu Tugaya Macabengen",Datu Tugs,Independent,5043
Ampatuan,Councilor,"Malang, Datu Kadtog Salilaguia",Deltakilo,Independent,5125
Ampatuan,Councilor,"Basilan, Johaipa Ampatuan",Jopy,Independent,5136
Ampatuan,Councilor,"Guilay, Tibong Mama",Bapabong,Independent,5870
Ampatuan,Councilor,"Sangki, Mote Baliwan",Mots,Independent,7256
Barira,Mayor,"Tomawis, Rocaya Dagalangit",Rocaya,Aksyon Demokratiko,10848
Barira,Vice-Mayor,"Tomawis, Alexander Dagalangit",Alex,Aksyon Demokratiko,11075
Barira,Councilor,"Daranda, Molina Mamalakat",Moli,Aksyon Demokratiko,6854
Barira,Councilor,"Tomawis, Cadir Basagan",Cadir,Aksyon Demokratiko,6976
Barira,Councilor,"Moda, Taha Meno",Taha,Aksyon Demokratiko,7334
Barira,Councilor,"Bondco, Disomnong Saklaw",Diso,Aksyon Demokratiko,7338
Barira,Councilor,"Pacalna, Abiden Lumanggay",Kamagong,Aksyon Demokratiko,7545
Barira,Councilor,"Dimasangkay, Khalid Manabilang",Khal,Aksyon Demokratiko,8745
Barira,Councilor,"Dagalangit, Amirsalam Pacpac",Sultan,Aksyon Demokratiko,9371
Barira,Councilor,"Brie, Rasid Alimpang",Ras,Aksyon Demokratiko,9458
Buldon,Mayor,"Tomawis, Fatima Ruth Pembayabaya",Tata,Aksyon Demokratiko,7471
Buldon,Vice-Mayor,"Manalao, Abolais Aratuc",Abol,Aksyon Demokratiko,8022
Buldon,Councilor,"Ragundo, Abdulazis Dicampong",Azis,Aksyon Demokratiko,4704
Buldon,Councilor,"Mamalacat, Abusama Refores",Abo,Aksyon Demokratiko,5885
Buldon,Councilor,"Rumumba, Pagamalen Hadji Malic Mayasa",King,Aksyon Demokratiko,5905
Buldon,Councilor,"Alamada, Tahir Bangon",Amersab,Aksyon Demokratiko,6343
Buldon,Councilor,"Diron, Sacaria Ringgao",Phots,Aksyon Demokratiko,6397
Buldon,Councilor,"Tomawis, Manua Baguaraga",Sarip,Aksyon Demokratiko,6568
Buldon,Councilor,"Maluag, Basman Kauntongan",Basm,Aksyon Demokratiko,6629
Buldon,Councilor,"Aratuc, Ali Macapantar",Ali,Aksyon Demokratiko,6731
Buluan,Mayor,"Mangudadatu, Datu Ibrahim Gaguil",Jong,Lakas-Kampi,10088
Buluan,Vice-Mayor,"Mangudadatu, King Jhazzer Tiamson",King,Lakas-Kampi,9847
Buluan,Councilor,"Salendab, Mayonbai Daniel",Mayonbai,Independent,7283
Buluan,Councilor,"Bedial, Macaraton Mangudadatu",Macky,Lakas-Kampi,7344
Buluan,Councilor,"Manonggal, Mokamad Panalangin",Mads,Lakas-Kampi,7431
Buluan,Councilor,"Ulilisen, Kamedon Mamalumpong",Haji,Lakas-Kampi,7717
Buluan,Councilor,"Kadalim, Bai Rhamla Mangudadatu",Kagi,Lakas-Kampi,8220
Buluan,Councilor,"Piang, Esmael Mangudadatu",Kepat,Lakas-Kampi,8632
Buluan,Councilor,"Mangudadatu, Kugao Dalimbang",Kugao,Lakas-Kampi,8688
Buluan,Councilor,"Mangudadatu, Datu Miskinan Kanda",Haji,Lakas-Kampi,9196
Cotabato City,Mayor,"Guiani, Japal Jr Juanday",Jojo,Puwersa ng Masang Pilipino,21000
Cotabato City,Vice-Mayor,"Sema, Muslimin Gampong",Nus,Nationalista Party Coalition,22293
Cotabato City,Councilor,"Taha, Kusin Salik",Kus,Nationalista Party Coalition,15665
Cotabato City,Councilor,"Sema, Sukarno Guiaman",Suk,Nationalista Party Coalition,16432
Cotabato City,Councilor,"Formento, Florante Lacay",Popoy,NP,17450
Cotabato City,Councilor,"Melendrez, Froilan Rosales",Kuya Froi,Independent,17732
Cotabato City,Councilor,"Datumanong, Madatu Brahim",Dick,Nationalista Party Coalition,18393
Cotabato City,Councilor,"Andang, Abdullah Ahmad",Abs,Nationalista Party Coalition,18406
Cotabato City,Councilor,"Bueno, Wilfrido Homboy",Willie,Puwersa ng Masang Pilipino,18874
Cotabato City,Councilor,"Ridao, Marino Rojas",Mar,Puwersa ng Masang Pilipino,19652
Cotabato City,Councilor,"Rabago, Eduardo Castro",Eddie,Puwersa ng Masang Pilipino,21139
Cotabato City,Councilor,"Dumama, Graham Nazer Guiani",Datu Grei,Puwersa ng Masang Pilipino,21970
Datu Abdullah Sangki,Mayor,"Sangki, Datu Akmad Simpal",Akmad,Independent,3806
Datu Abdullah Sangki,Vice-Mayor,"Sangki, Samsodhen Ampatuan",Datu Sam,Independent,2657
