age,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,total,percentage_to_total
14-Below,9588,9100,8433,8199,9154,10524,12407,13271,12207,12053,11634,12708,13119,12462,11372,12162,10172,7208,7288,9132,10091,11970,12017,13793,15057,17919,17011,15420,17706,20864,19891,18887,402819,20.76
15-19,4712,4650,4498,4359,4822,5520,5941,6237,5620,5954,6235,7347,7141,6904,6158,7507,6444,4692,4678,5194,5070,5503,5107,6048,6404,7169,8036,7516,8246,8683,8346,8493,199234,10.27
20-24,5846,5956,5164,5035,5196,5512,5733,5440,5735,7582,7813,8014,7563,6707,5826,5977,5190,4283,4849,5123,5432,5568,5483,6499,7122,9267,8484,7443,7907,8388,8365,8898,207400,10.69
25-29,5919,6643,5323,5348,5489,5809,6946,6899,7076,8810,8579,8375,8332,8376,7987,7359,6542,5022,5513,7056,6877,7806,6822,7748,8309,10524,9404,8019,8423,8218,8629,8847,237029,12.22
30-34,4048,5357,3659,3956,4264,4836,6359,6561,6731,7546,6855,6908,6967,6911,6463,5999,5192,4202,4531,6434,6665,7238,7023,8298,8508,10383,8233,7084,8022,9179,8952,8867,212231,10.94
35-39,2445,3488,2409,2695,2845,3179,4069,4379,4265,4503,4242,4608,4878,4783,3923,4107,3527,2816,2989,4527,4381,4650,4430,5337,6093,7521,6669,5826,6544,7682,7352,7095,148257,7.64
40-44,1799,2760,1678,1703,1665,1855,2334,2770,2746,3018,2942,3027,3373,3164,2715,3161,2714,1990,1907,2971,2726,3136,3045,3630,4116,4734,4792,4337,4938,5754,5657,5274,102431,5.28
45-49,1543,2145,1437,1586,1613,1590,1742,1981,1897,2006,2083,2156,2361,2477,2197,2866,2737,1780,1654,2201,1809,2402,2431,2843,3126,3390,3443,3266,3666,4337,4015,3749,78529,4.05
50-54,2142,2402,1679,1601,1800,1840,1943,1970,1973,2308,2260,2210,2406,2347,2012,2566,2607,1707,1633,2052,1874,2052,2172,2510,2455,2701,2844,2718,3128,3433,3136,2961,73442,3.79
55-59,2955,2985,2364,2007,2344,2339,2436,2384,2095,2542,2534,2477,2759,2909,2420,2928,2885,1654,1576,1891,1787,1918,1981,2472,2392,2618,3013,2615,3273,3005,2785,2976,79319,4.09
60-64,3068,3223,2461,2109,2458,2576,2554,2389,2022,2601,2867,2501,2996,3079,2222,2672,2664,1506,1596,1824,2277,2006,1814,2154,2074,2351,3163,2708,3163,2803,2711,3160,79772,4.11
65-69,2653,2630,1737,1497,1809,1867,1990,1848,1602,2042,2207,1967,2294,2457,1591,1971,1861,1139,1219,1478,1499,1783,1489,1825,1732,2090,2699,1918,2304,1803,1843,2263,61107,3.15
70-Above,2149,2614,1639,1456,1810,1891,1896,1867,1762,2176,2212,1856,2201,1955,1356,1638,1524,1010,1074,1136,1566,1683,1323,1767,1640,2300,2808,1861,2340,1822,1713,2170,58215,3
Not Reported or No Response,-,-,-,-,-,-,-,24,14,8,1,-,-,-,-,-,-,-,-,12,-,5,-,-,-,-,-,69,58,104,15,-,310,0.02
Total Age Group,48867,53953,42481,41551,45269,49338,56350,58020,55745,63149,62464,64154,66390,64531,56242,60913,54059,39009,40507,51031,52054,57720,55137,64924,69028,82967,80599,70800,79718,86075,83410,83640,1940095,100
Average Age,33,34,32,31,32,31,30,31,31,32,31,31,32,33,31,32,33,32,32,32,32,32,31,31,31,31,32,31,31,29,29,30,31,-
