type_of_funds_1,type_of_funds_2,source_agency_donor_funding_entity,balance_january_1,receipt_during_the_year,utilization_during,balance_june_30_2013,moa_project_agreement_ref_number_if_any,type_of_funds
Locally Fund,Calamity Fund - Preparedness,Local,-,12143404,831679.11,11311724.89,-,General Fund
Locally Fund,Calamity Fund - Prevention/Mitigation,-,-,-,-,-,-,-
Locally Fund,Calamity Fund - Calamity Fund Used to Augment QRF,-,-,-,-,-,-,-
Locally Fund,Quick Response Fund (QRF),Local,-,5204316,-,5204316,-,General Fund
Locally Fund,Donations,-,-,-,-,-,-,-
Locally Fund,Donations - Cash,-,-,-,-,-,-,-
Locally Fund,Donations - In Kind,-,-,-,-,-,-,-
Locally Fund,Loans,-,-,-,-,-,-,-
Locally Fund,Grants/Aids,-,-,-,-,-,-,-
Locally Fund,Inter-Agency Fund Transfer,-,-,-,-,-,-,-
Locally Fund,PDAF Congressional Initiatives,-,-,-,-,-,-,-
Locally Fund,Others,-,-,-,-,-,-,-
Locally Fund,Others - Agency Non-Office Appropriation,-,-,-,-,-,-,-
Locally Fund,Others - Special Trust Fund,Local,1881605.8,13921619.36,-,15803225.16,-,Trust Fund
Locally Fund,Sub Total,-,1881605.8,31269339.36,831679.11,32319266.05,-,-
Foreign Funded (In Peso):,Grants/Aids,-,-,-,-,-,-,-
Foreign Funded (In Peso):,Loans,-,-,-,-,-,-,-
Foreign Funded (In Peso):,Donations,-,-,-,-,-,-,-
Foreign Funded (In Peso):,Donations - Cash,-,-,-,-,-,-,-
Foreign Funded (In Peso):,Donations - In Kind,-,-,-,-,-,-,-
Foreign Funded (In Peso):,Others,-,-,-,-,-,-,-
Foreign Funded (In Peso):,Sub Total,-,-,-,-,-,-,-
Grand Total ,Grand Total ,-,1881605.8,31269339.36,831679.11,32319266.05,-,-
